iter	RMSE
120	0.3296689342
121	0.3295818532
122	0.3293050584
123	0.3290663954
124	0.32878062
125	0.3285731196
126	0.3284098267
127	0.328199614
128	0.3279394604
129	0.327703181
130	0.3274944527
131	0.3273617464
132	0.3271824384
133	0.3271069483
134	0.3270467805
135	0.3267684338
136	0.3265381599
137	0.3262996127
138	0.3260760316
139	0.3258757834
140	0.3256115304
141	0.3253413048
142	0.3250699082
143	0.3247847977
144	0.3245449549
145	0.3244201198
146	0.3241156387
147	0.3239719187
148	0.3237805539
149	0.3235323573
150	0.3233641729
151	0.3231442811
152	0.3229043987
153	0.3227103037
154	0.322482302
155	0.3222118277
156	0.3219476541
157	0.3217998813
158	0.3215714287
159	0.3213927329
160	0.3209979629
161	0.3208637894
162	0.3206770557
163	0.3205229702
164	0.3202838063
165	0.3201236244
166	0.3199520143
167	0.319761152
168	0.3196747274
169	0.3194139009
170	0.3192635549
171	0.3189945568
172	0.3187487791
173	0.3185816007
174	0.3184095278
175	0.3181282864
176	0.3180105822
177	0.3178264464
178	0.3176354816
179	0.3175389257
180	0.3173867935
181	0.3172186704
182	0.3171030624
183	0.3169219773
184	0.3168184014
185	0.3166116345
186	0.3165165727
187	0.3162839234
188	0.316199869
189	0.3160148605
190	0.3157938173
191	0.315779272
192	0.3156249497
193	0.3155033197
194	0.3152946497
195	0.3151352544
196	0.3149654575
197	0.3147706888
198	0.3146120216
199	0.3144874925
200	0.3143710163
201	0.3141704284
202	0.3140215203
203	0.3137907734
204	0.313646576
205	0.3135476205
206	0.3134468764
207	0.3132267161
208	0.3128979559
209	0.3126447625
210	0.3124290854
211	0.3122129961
212	0.3120763159
213	0.3117408026
214	0.3115207221
215	0.3113022563
216	0.3112347887
217	0.3109876219
218	0.3107997715
219	0.3105896387
220	0.3104487752
221	0.3102525946
222	0.3100886132
223	0.3098655519
224	0.309756623
225	0.3096292536
226	0.3094330811
227	0.3092938821
228	0.3091473473
229	0.3089469791
230	0.3088013912
231	0.308669826
232	0.3086096935
233	0.3084804862
234	0.3083336701
235	0.3081083885
236	0.3080643549
237	0.3079266376
238	0.3078367263
239	0.3077166475
240	0.3076021915
241	0.3075065266
242	0.3072841993
243	0.3070565704
244	0.3067784493
245	0.3066694005
246	0.3064497391
247	0.3063620207
248	0.3062634845
249	0.3060174572
250	0.3059374186
251	0.3056061442
252	0.3054181919
253	0.3053228384
254	0.3051060159
255	0.304809365
256	0.3045227798
257	0.3044091395
258	0.3043116791
259	0.3041665665
260	0.3040704989
261	0.3039108797
262	0.303837954
263	0.3036754077
264	0.3035344733
265	0.3033818617
266	0.3030849452
267	0.302941861
268	0.3027958821
269	0.3026884419
270	0.3026210376
271	0.3024780616
272	0.3023385703
273	0.3021864737
274	0.3021082311
275	0.301971873
276	0.3018052998
277	0.3017497851
278	0.3016484045
279	0.3015727406
280	0.3013643792
281	0.301203251
282	0.3010539059
283	0.3008285687
284	0.3007653796
285	0.3005313203
286	0.3004475423
287	0.3003739541
288	0.3003018146
289	0.300243135
290	0.3000405894
291	0.2999510425
292	0.2998150051
293	0.2996138056
294	0.2994709375
295	0.299256272
296	0.2991747148
297	0.2990057078
298	0.2988677149
299	0.2986917221
300	0.2985233473
301	0.298284563
302	0.2981558824
303	0.2979919946
304	0.2977992444
305	0.2974855895
306	0.2973416417
307	0.2972593211
308	0.2969876167
309	0.2969080362
310	0.2966486963
311	0.2965690897
312	0.2964874171
313	0.2963360479
314	0.2962415014
315	0.2960279332
316	0.2959480342
317	0.2958084867
318	0.2955433794
319	0.2954109947
320	0.2953117843
321	0.2950918275
322	0.2949902551
323	0.2948633002
324	0.2947878964
325	0.2947236509
326	0.2945587617
327	0.2944031062
328	0.2943304511
329	0.2942473865
330	0.2941713292
331	0.2940504121
332	0.2939753121
333	0.293885169
334	0.2938361505
335	0.2935426166
336	0.2934748897
337	0.2932392587
338	0.2928042215
339	0.2927312675
340	0.2925249492
341	0.2924100907
342	0.2921385744
343	0.2920230954
344	0.2919368407
345	0.2917524272
346	0.2916591673
347	0.2915691627
348	0.2913302927
349	0.2912442279
350	0.2911060767
351	0.2909796195
352	0.2908969127
353	0.2908355606
354	0.2906770831
355	0.2903818307
356	0.2902359133
357	0.2901529522
358	0.2899228775
359	0.289785045
360	0.2895113549
361	0.289454149
362	0.2893644632
363	0.2892192557
364	0.2890894571
365	0.2890160135
366	0.2887415375
367	0.2886524368
368	0.2883832971
369	0.2883230269
370	0.2880628649
371	0.2879843421
372	0.287867577
373	0.2876813794
374	0.287478158
375	0.2874211107
376	0.2873596166
377	0.2872764495
378	0.2872009111
379	0.2871298895
380	0.2870351388
381	0.286926619
382	0.2868472033
383	0.286534278
384	0.2864375928
385	0.286300726
386	0.2860885511
387	0.285986548
388	0.2858163071
389	0.2857061959
390	0.2855238188
391	0.2853098256
392	0.2852146987
393	0.2850611008
394	0.2848838988
395	0.2845610763
396	0.284326538
397	0.2841522785
398	0.2840476579
399	0.2838414234
400	0.283798301
401	0.2835168346
402	0.2833119487
403	0.2829708417
404	0.2829073916
405	0.2828044472
406	0.2826772821
407	0.2823841721
408	0.2823089293
409	0.2822399938
410	0.2820219322
411	0.2818447752
412	0.2816384728
413	0.281388819
414	0.2810147187
415	0.280807882
416	0.2807616386
417	0.2806006513
418	0.2805538255
419	0.2803431592
420	0.2802415419
421	0.2801890523
422	0.2800389929
423	0.2797519159
424	0.2796157264
425	0.2795220319
426	0.2792657351
427	0.2790137307
428	0.2789536382
429	0.2787814346
430	0.2785877628
431	0.2784106905
432	0.2783718057
433	0.2782967877
434	0.2781102206
435	0.278016634
436	0.2778548235
437	0.2776313111
438	0.2774599268
439	0.2773747115
440	0.2772119987
441	0.2771636721
442	0.2770280657
443	0.2767442129
444	0.2765869193
445	0.2764508127
446	0.2762383676
447	0.2761104943
448	0.2760019221
449	0.2757843628
450	0.2757223711
451	0.2756663336
452	0.2754869536
453	0.2752260397
454	0.2751682748
455	0.2749150224
456	0.2748416119
457	0.2745906472
458	0.2744876064
459	0.274278844
460	0.2740867347
461	0.2739507044
462	0.2738828882
463	0.2737599502
464	0.273558583
465	0.2734157412
466	0.2733157733
467	0.2732217492
468	0.2730812748
469	0.272944058
470	0.2728304771
471	0.27273168
472	0.2726811602
473	0.27240264
474	0.2721395459
475	0.2720856209
476	0.2718863089
477	0.271645588
478	0.2715765247
479	0.2715324793
480	0.271216892
481	0.2711385995
482	0.2709767829
483	0.2708466745
484	0.2705703817
485	0.2703364651
486	0.2701542692
487	0.2700591044
488	0.269877397
489	0.269583211
490	0.2692159964
491	0.2690551499
492	0.2689223358
493	0.2687133343
494	0.2686339964
495	0.2684380368
496	0.2682497074
497	0.2680509423
498	0.2678629535
499	0.2677047885
500	0.2674712851
501	0.2673446541
502	0.267058162
503	0.2667866463
504	0.2666938537
505	0.2664273012
506	0.2663803266
507	0.266225266
508	0.2659985647
509	0.2659015445
510	0.2658565988
511	0.2655661477
512	0.265410536
513	0.265257361
514	0.2650860197
515	0.264996081
516	0.2648348884
517	0.2647790112
518	0.2646642556
519	0.2644589456
520	0.2642782369
521	0.2640845589
522	0.2639826753
523	0.2638182038
524	0.2635898402
525	0.2632742053
526	0.2631962387
527	0.2631112471
528	0.2628254499
529	0.262629611
530	0.2623941191
531	0.2620565162
532	0.2619241166
533	0.2617861172
534	0.2616979397
535	0.2616121751
536	0.2615640392
537	0.2614865048
538	0.2612883896
539	0.2610936486
540	0.2609857388
541	0.2608490475
542	0.2607296066
543	0.260659888
544	0.2606061786
545	0.260427113
546	0.2602187082
547	0.2600639746
548	0.2599815668
549	0.2599262186
550	0.2597213938
551	0.2595823415
552	0.2593930991
553	0.2592553003
554	0.2592156456
555	0.2590114513
556	0.2588873661
557	0.2586290573
558	0.2584810114
559	0.2582420455
560	0.2580844576
561	0.2579291253
562	0.2578957891
563	0.2576551711
564	0.2575966947
565	0.2573074769
566	0.2570170911
567	0.2568789514
568	0.2566680424
569	0.2565214251
570	0.2563505109
571	0.256305056
572	0.2561475608
573	0.2560177099
574	0.2557794131
575	0.255651592
576	0.2554889428
577	0.2554142832
578	0.2551993444
579	0.2550335534
580	0.2548774039
581	0.254807044
582	0.2546780499
583	0.2546469646
584	0.2544909838
585	0.2543823421
586	0.2542892624
587	0.2541769909
588	0.2538622553
589	0.2537191599
590	0.2535777863
591	0.2534604171
592	0.253394969
593	0.2532983171
594	0.2531003466
595	0.252913066
596	0.2528482922
597	0.2527340927
598	0.2527046804
599	0.2525579302
600	0.2523992533
601	0.2522076039
602	0.2520090732
603	0.2518560262
604	0.2516579017
605	0.2514807275
606	0.2513557594
607	0.2512930188
608	0.2512600999
609	0.2511899801
610	0.2510058709
611	0.2509545365
612	0.250840951
613	0.2507275877
614	0.250480664
615	0.2503277065
616	0.2501835203
617	0.2500238885
618	0.2499680795
619	0.2498586708
620	0.2497230859
621	0.2495767394
622	0.2494503769
623	0.2492934028
624	0.2492308981
625	0.249102961
626	0.2490598574
627	0.2489636557
628	0.2487806926
629	0.2486822013
630	0.2485399087
631	0.2484386889
632	0.2482081881
633	0.2480702407
634	0.2477666737
635	0.247652989
636	0.2474827458
637	0.24741055
638	0.2473370006
639	0.2471715219
640	0.2469910907
641	0.246729074
642	0.2465438911
643	0.2464959635
644	0.2462695368
645	0.2460055039
646	0.2457390836
647	0.2456965152
648	0.2455927478
649	0.2453961656
650	0.2451286678
651	0.2450717665
652	0.2450098509
653	0.2448616518
654	0.2446722563
655	0.2446027876
656	0.2445106703
657	0.2444058685
658	0.24423474
659	0.2441729102
660	0.2441122767
661	0.2440266825
662	0.243982822
663	0.243831611
664	0.2437900123
665	0.2436710793
666	0.2435816881
667	0.2434401955
668	0.2433192355
669	0.2431307236
670	0.2430212403
671	0.242948617
672	0.2427476892
673	0.2426565566
674	0.2424709258
675	0.2424333428
676	0.2423687561
677	0.2423009255
678	0.2422386552
679	0.2420319941
680	0.2419768051
681	0.2418650339
682	0.2418008709
683	0.2417151021
684	0.2415242568
685	0.2413623728
686	0.2411998147
687	0.2411099872
688	0.2408979608
689	0.2406410314
690	0.2405497351
691	0.2402497872
692	0.2401662179
693	0.2399604086
694	0.2399137076
695	0.2397603165
696	0.2396635949
697	0.2395125837
698	0.2394123896
699	0.2392442164
700	0.2391565821
701	0.2389867344
702	0.2388617667
703	0.2387965709
704	0.2387120632
705	0.2385001146
706	0.2384568352
707	0.2383865729
708	0.2382356568
709	0.238171961
710	0.2380566446
711	0.2380014529
712	0.2377804483
713	0.2375623307
714	0.2373106328
715	0.2370823216
716	0.2369285308
717	0.2367537613
718	0.2366163943
719	0.2364853673
720	0.2363851807
721	0.2361970193
722	0.2360494355
723	0.2359531268
724	0.2357428516
725	0.2354760217
726	0.235381692
727	0.2352864311
728	0.2352660564
729	0.2352082822
730	0.2350562022
731	0.235031853
732	0.2348899615
733	0.2347514766
734	0.2346600938
735	0.2346010327
736	0.234440091
737	0.2343063444
738	0.2340106141
739	0.2338933077
740	0.2338445681
741	0.2337065439
742	0.2336448119
743	0.2335678136
744	0.2335324961
745	0.2334833032
746	0.2334433647
747	0.2333121938
748	0.2331372867
749	0.2329725985
750	0.232875477
751	0.2328470832
752	0.2328200754
753	0.2326233339
754	0.2324959363
755	0.2323924908
756	0.2323225578
757	0.232147951
758	0.2321001415
759	0.2320731257
760	0.23185604
761	0.2318031973
762	0.2317317486
763	0.2316764555
764	0.2315167447
765	0.2313690755
766	0.2312749975
767	0.2310777292
768	0.2309879756
769	0.2308589506
770	0.2308218488
771	0.2307309372
772	0.2306239959
773	0.2304924495
774	0.230352939
775	0.2302743428
776	0.2302219919
777	0.2301165237
778	0.2299555317
779	0.229907449
780	0.2297953837
781	0.2297576617
782	0.229668579
783	0.2295111922
784	0.2294586302
785	0.2293261536
786	0.2292402808
787	0.2291583731
788	0.228998799
789	0.2289589226
790	0.2288065905
791	0.2286378511
792	0.2284048928
793	0.2283448941
794	0.2282880262
795	0.2282538229
796	0.2281431257
797	0.2278929771
798	0.2278222056
799	0.2278011949
800	0.2276619607
801	0.227589409
802	0.2274236628
803	0.2273169012
804	0.2270240113
805	0.2268693523
806	0.226734797
807	0.226643411
808	0.2265423762
809	0.2264770154
810	0.2264515514
811	0.2263679133
812	0.2263115091
813	0.2262399357
814	0.2260787258
815	0.2259507565
816	0.2258880571
817	0.2257823508
818	0.2256783187
819	0.2256336802
820	0.2255568502
821	0.2253906551
822	0.2252759297
823	0.225251531
824	0.2252202718
825	0.2250975564
826	0.2249964672
827	0.2249204019
828	0.2247703773
829	0.2245829717
830	0.2244484204
831	0.2243022772
832	0.2242634215
833	0.2241798553
834	0.2239385282
835	0.2238549096
836	0.2237571658
837	0.2236742035
838	0.2235134353
839	0.2233387952
840	0.2232689948
841	0.2231656521
842	0.2230108431
843	0.2228936174
844	0.2228142742
845	0.2227383708
846	0.2225994512
847	0.2224143901
848	0.2223764606
849	0.2222385408
850	0.2221371867
851	0.2220663102
852	0.2219756565
853	0.2218376935
854	0.2217327524
855	0.2215935058
856	0.2214616813
857	0.2214034797
858	0.2212950304
859	0.2212335685
860	0.2211797227
861	0.2211533309
862	0.2209769623
863	0.2209047009
864	0.2207882762
865	0.2207494904
866	0.2205520628
867	0.2204450084
868	0.2203648216
869	0.220277614
870	0.2201045671
871	0.2200258859
872	0.2198919472
873	0.2198104367
874	0.2197032778
875	0.2195176112
876	0.2194581134
877	0.2194209366
878	0.2193599449
879	0.2192479846
880	0.2190531772
881	0.2189896826
882	0.2188800532
883	0.2187800766
884	0.2186223946
885	0.2184273226
886	0.2183327726
887	0.2182329647
888	0.2181775575
889	0.2180467097
890	0.217979595
891	0.2178808259
892	0.2178312891
893	0.2177449756
894	0.2176099944
895	0.2174566776
896	0.2174058038
897	0.217355661
898	0.2172810911
899	0.2172088888
900	0.2170797575
901	0.2169937892
902	0.2169357485
903	0.2168769469
904	0.2167789781
905	0.2166383956
906	0.2165619396
907	0.216428883
908	0.2163274923
909	0.216196616
910	0.2160881819
911	0.2160450137
912	0.2160085404
913	0.2158719454
914	0.2156346658
915	0.2155600474
916	0.2155334078
917	0.2154758383
918	0.2154080148
919	0.2152142139
920	0.2151517629
921	0.2151213316
922	0.2149732579
923	0.2148354621
924	0.2147377421
925	0.2146582235
926	0.2146193933
927	0.2145616802
928	0.2145012791
929	0.2144388202
930	0.2143439472
931	0.2143181511
932	0.2142176757
933	0.2141205127
934	0.2139523725
935	0.2137839958
936	0.2136948393
937	0.2136076014
938	0.213515622
939	0.2133805741
940	0.2132836441
941	0.2132264576
942	0.2130975351
943	0.2130280733
944	0.2129377667
945	0.21282436
946	0.2127882931
947	0.2126384161
948	0.2125942188
949	0.2125012915
950	0.2124193539
951	0.2123221764
952	0.2122558916
953	0.2121232434
954	0.2120807016
955	0.2120099354
956	0.2118355558
957	0.2117914869
958	0.2117592131
959	0.2116319621
960	0.2116136275
961	0.2115673775
962	0.2114950666
963	0.211472565
964	0.2114131893
965	0.2113199367
966	0.2112123525
967	0.2111073791
968	0.2109982237
969	0.2108717061
970	0.2108081986
971	0.2107178094
972	0.2105966251
973	0.2105667837
974	0.2103866608
975	0.2102433063
976	0.2101687808
977	0.209939056
978	0.2097888703
979	0.2096966487
980	0.2096567042
981	0.2095189911
982	0.2094995581
983	0.2094273782
984	0.2093702821
985	0.2093201354
986	0.2091914305
987	0.2090675118
988	0.2090141594
989	0.2087591127
990	0.2086833122
991	0.2085340869
992	0.2084539784
993	0.2084093789
994	0.2083246138
995	0.2082743478
996	0.2081682935
997	0.2080156425
998	0.2078453718
999	0.2078291676
